object_id,image_path,image_name
object_001,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_001/img_001.jpg,img_001.jpg
object_001,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_001/img_002.jpg,img_002.jpg
object_001,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_001/img_003.jpg,img_003.jpg
object_001,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_001/img_004.jpg,img_004.jpg
object_001,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_001/img_005.jpg,img_005.jpg
object_001,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_001/img_006.jpg,img_006.jpg
object_001,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_001/img_007.jpg,img_007.jpg
object_001,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_001/img_008.jpg,img_008.jpg
object_001,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_001/img_009.jpg,img_009.jpg
object_001,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_001/img_010.jpg,img_010.jpg
object_001,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_001/img_011.jpg,img_011.jpg
object_001,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_001/img_012.jpg,img_012.jpg
object_001,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_001/img_013.jpg,img_013.jpg
object_001,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_001/img_014.jpg,img_014.jpg
object_001,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_001/img_015.jpg,img_015.jpg
object_001,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_001/img_016.jpg,img_016.jpg
object_001,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_001/img_017.jpg,img_017.jpg
object_001,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_001/img_018.jpg,img_018.jpg
object_001,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_001/img_019.jpg,img_019.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_001.jpg,img_001.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_002.jpg,img_002.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_003.jpg,img_003.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_004.jpg,img_004.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_005.jpg,img_005.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_006.jpg,img_006.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_007.jpg,img_007.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_008.jpg,img_008.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_009.jpg,img_009.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_010.jpg,img_010.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_011.jpg,img_011.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_012.jpg,img_012.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_013.jpg,img_013.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_014.jpg,img_014.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_015.jpg,img_015.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_016.jpg,img_016.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_017.jpg,img_017.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_018.jpg,img_018.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_019.jpg,img_019.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_020.jpg,img_020.jpg
object_002,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_002/img_021.jpg,img_021.jpg
object_003,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_003/img_010.jpg,img_010.jpg
object_003,/Users/memerchik/Documents/GitHub/aister_prototypes/case-study-1/data/dataset_dev/gallery/object_003/img_012.jpg,img_012.jpg
